data_type,size,insertion_sort,merge_sort,timsort
random,100,0.00011899999420469005,7.722200825810432e-05,4.346986922125022e-06
random,500,0.0026700556627474725,0.00043537500702465576,2.165266778320074e-05
random,1000,0.008984291673793146,0.0008102083423485359,4.430567302430669e-05
random,5000,0.22895627800608054,0.005034624986971418,0.00030533334938809276
random,10000,0.9286694719921798,0.011088583327364177,0.0007131946622394025
random,50000,,0.06280287500703707,0.004325486001713823
random,100000,,0.13296670833369717,0.009271499991882592
sorted,100,5.097322476406892e-06,5.693068184579412e-05,9.166542440652847e-07
sorted,500,2.636133770768841e-05,0.0003099583360987405,2.375008383144935e-06
sorted,1000,4.9569333593050637e-05,0.0005684030087043842,4.666663395861785e-06
sorted,5000,0.0002842639999774595,0.003511513990815729,2.5041673022011917e-05
sorted,10000,0.0005319999957767626,0.007262430658253531,5.8472350550194584e-05
sorted,50000,,0.04052190267248079,0.00028870832951118547
sorted,100000,,0.08458756932911153,0.0005605556652881205
reversed,100,0.00021731933035577336,6.159699599569042e-05,9.026650028924147e-07
reversed,500,0.004790305334609002,0.0003013056702911854,2.583333601554235e-06
reversed,1000,0.017797305656131357,0.0005972916648412744,5.458326389392217e-06
reversed,5000,0.46099180565215647,0.0035794860062499842,2.8444667501995962e-05
reversed,10000,1.8699987916625105,0.007717916664356987,6.263868029539783e-05
reversed,50000,,0.04190093034412712,0.0002792223434274395
reversed,100000,,0.08748441666830331,0.0005892639940915009
partially_sorted,100,4.802799473206202e-05,7.209699833765626e-05,3.4583305629591146e-06
partially_sorted,500,0.0011054306523874402,0.000402139014719675,1.90276768989861e-05
partially_sorted,1000,0.004658458346966654,0.0008343196629236141,3.8513661517451205e-05
partially_sorted,5000,0.11330306966556236,0.00503623600040252,0.00023554166546091437
partially_sorted,10000,0.4427463470104461,0.01059965300373733,0.0005078469985164702
partially_sorted,50000,,0.061163347001032285,0.0029243196671207747
partially_sorted,100000,,0.12857469433220103,0.006155444658361375
